"Country or Area","Year","Sex","Age","Source Year","Value","Value Footnotes"
"Australia","2016","Female","8","2017","130974","1"
"Australia","2016","Female","9","2017","129800","1"
"Australia","2016","Female","10","2017","125658","1"
"Australia","2016","Female","10 - 14","2017","600867","1"
"Australia","2016","Female","11","2017","120420","1"
"Australia","2016","Female","12","2017","118873","1"
"Australia","2016","Female","13","2017","118346","1"
"Australia","2016","Female","14","2017","117572","1"
"Australia","2016","Female","15","2017","119893","1"
"Australia","2016","Female","15 - 19","2017","622703","1"
"Australia","2016","Female","16","2017","122415","1"
"Australia","2016","Female","17","2017","122674","1"
"Australia","2016","Female","18","2017","125259","1"
"Australia","2016","Female","19","2017","132457","1"
"Australia","2016","Female","20","2017","136737","1"
"Australia","2016","Female","20 - 24","2017","717808","1"
"Australia","2016","Female","21","2017","141084","1"
"Australia","2016","Female","22","2017","142562","1"
"Australia","2016","Female","23","2017","147367","1"
"Australia","2016","Female","24","2017","150066","1"
"Australia","2016","Female","25","2017","154154","1"
"Australia","2016","Female","25 - 29","2017","787204","1"
"Australia","2016","Female","26","2017","158515","1"
"Australia","2016","Female","27","2017","157218","1"
"Australia","2016","Female","28","2017","158840","1"
"Australia","2016","Female","29","2017","158477","1"
"Australia","2016","Female","30","2017","162488","1"
"Australia","2016","Female","30 - 34","2017","803827","1"
"Australia","2016","Female","31","2017","161878","1"
"Australia","2016","Female","32","2017","161680","1"
"Australia","2016","Female","33","2017","161551","1"
"Australia","2016","Female","34","2017","156227","1"
"Australia","2016","Female","35","2017","153117","1"
"Australia","2016","Female","35 - 39","2017","723443","1"
"Australia","2016","Female","36","2017","147300","1"
"Australia","2016","Female","37","2017","143384","1"
"Australia","2016","Female","38","2017","140464","1"
"Australia","2016","Female","39","2017","139179","1"
"Australia","2016","Female","40","2017","140359","1"
"Australia","2016","Female","40 - 44","2017","725169","1"
"Australia","2016","Female","41","2017","140415","1"
"Australia","2016","Female","42","2017","144308","1"
"Australia","2016","Female","43","2017","147398","1"
"Australia","2016","Female","44","2017","152689","1"
"Australia","2016","Female","45","2017","156625","1"
"Australia","2016","Female","45 - 49","2017","716817","1"
"Australia","2016","Female","46","2017","145015","1"
"Australia","2016","Female","47","2017","143172","1"
"Australia","2016","Female","48","2017","138341","1"
"Australia","2016","Female","49","2017","133662","1"
"Australia","2016","Female","50","2017","133378","1"
"Australia","2016","Female","50 - 54","2017","677740","1"
"Australia","2016","Female","51","2017","132078","1"
"Australia","2016","Female","52","2017","137568","1"
"Australia","2016","Female","53","2017","138100","1"
"Australia","2016","Female","54","2017","136617","1"
"Australia","2016","Female","55","2017","136268","1"
"Australia","2016","Female","55 - 59","2017","645952","1"
"Australia","2016","Female","56","2017","131795","1"
"Australia","2016","Female","57","2017","127908","1"
"Australia","2016","Female","58","2017","127091","1"
"Australia","2016","Female","59","2017","122887","1"
"Australia","2016","Female","60","2017","120878","1"
