"INDICATOR","HFA_589"

"HFA_589","Number of abortions, age under 20 years"

"UNIT_TYPE","Unit"
"NUM_PROC","number of procedures"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"MKD","","ALL","1986","1110"
"ITA","","ALL","1994","10716"
"PRT","","ALL","2008","2222"
"CZE","","ALL","1990","10064"
"DEU","","ALL","1995","14266"
"FRA","","ALL","2000","25533.04"
"FIN","","ALL","2013","1635"
"LVA","","ALL","1991","3094"
"HRV","","ALL","1991","1282"
"LVA","","ALL","2008","1160"
"UKR","","ALL","1999","41085"
"UKR","","ALL","2001","31336"
"RUS","","ALL","2012","48935"
"UKR","","ALL","1992","83917"
"","CARINFONET","ALL","2003","12916"
"SVN","","ALL","1999","873"
"TJK","","ALL","2015","860"
"AZE","","ALL","1991","886"
"LTU","","ALL","2011","493"
"","CIS","ALL","2011","79104"
"SVN","","ALL","1986","1414"
"LTU","","ALL","2009","630"
"SWE","","ALL","1992","5338"
"TJK","","ALL","2008","559"
"BLR","","ALL","1993","20493"
"GEO","","ALL","2002","798"
"ISR","","ALL","1996","2542"
"ARM","","ALL","2011","636"
"TJK","","ALL","2005","522"
"FIN","","ALL","1975","4143"
"ISL","","ALL","2010","183"
"","NORDIC","ALL","2000","12438"
"NLD","","ALL","1982","2918"
"ROU","","ALL","1985","7519"
"SWE","","ALL","2014","3900"
"NOR","","ALL","1998","2410"
"NLD","","ALL","2001","4180"
"HUN","","ALL","1993","13362"
"NLD","","ALL","2000","3863"
"CZE","","ALL","1988","9637"
"NOR","","ALL","2007","2575"
"NLD","","ALL","1999","3114"
"CZE","","ALL","2011","1941"
"PRT","","ALL","2009","2420"
"CZE","","ALL","1991","10708"
"UKR","","ALL","2006","17408"
"FIN","","ALL","2003","2408"
"TKM","","ALL","1997","1575"
"SVK","","ALL","2003","1379"
"SRB","","ALL","2007","983"
"SVN","","ALL","2000","826"
"UKR","","ALL","2000","35505"
"","CARINFONET","ALL","2008","10222"
"","CARINFONET","ALL","2006","10860"
"SVN","","ALL","2002","586"
"UZB","","ALL","1996","6307"
"SVN","","ALL","1989","1014"
"SVN","","ALL","1990","1238"
"","NORDIC","ALL","1996","11074"
"TKM","","ALL","2002","1389"
"MKD","","ALL","2012","236"
"TKM","","ALL","2004","1226"
"SVK","","ALL","2007","1024"
"LVA","","ALL","1994","2425"
"ISR","","ALL","2001","2511"
"DNK","","ALL","1984","3429"
"FIN","","ALL","1973","3519"
"GRC","","ALL","2003","577"
"DNK","","ALL","1982","3668"
"ITA","","ALL","1983","19243"
"HRV","","ALL","1990","1625"
"GBR","","ALL","1992","33679"
"GBR","","ALL","1994","31435"
"NOR","","ALL","1995","2000"
"NOR","","ALL","1994","2001"
"GBR","","ALL","1993","31842"
"BEL","","ALL","2001","2208"
"KAZ","","ALL","2008","5223"
"ITA","","ALL","1997","11223"
"NOR","","ALL","2003","2202"
"NOR","","ALL","2004","2171"
"HUN","","ALL","1990","12011"
"ESP","","ALL","1991","5441"
"CZE","","ALL","1987","9186"
"ESP","","ALL","1989","4368"
"LVA","","ALL","2011","518"
"BGR","","ALL","2002","4972"
"FIN","","ALL","2002","2594"
"FRA","","ALL","2013","25952"
"","CARINFONET","ALL","2004","11732"
"","CARINFONET","ALL","2001","14007"
"","NORDIC","ALL","1999","11516"
"UKR","","ALL","2002","28698"
"","CARINFONET","ALL","2005","11406"
"SRB","","ALL","2009","966"
"PRT","","ALL","2015","1776"
"","CIS","ALL","2012","66857"
"","CIS","ALL","2008","141126"
